entity_type,entity_id,name,status,issues,fixes_applied
product,187cb4da-601a-5820-b01c-bf7994b00be8,BARCELONA BLACKBURN 608,clean,,
product,19054df2-cb46-518e-bcd8-53dd2b73f415,ASIAN GRANITO LIMITED BRICKSO SLATE,clean,,
product,19db0fd9-4303-5465-b6fb-e83756a8baf0,GVIT WOODEN LAKE,clean,,
product,1a8f6cd6-06c7-54a0-b3b0-05303ac22791,EDDICA LISTON CREMA,clean,,
product,1bb49b29-2f1a-5cca-b268-3f203ba317bf,COVERTEK BITAL GREY,clean,,
product,1bc6dd73-ad51-50cc-ba93-958edd5d40f8,BARCELONA HELICON 611,clean,,
product,1bd151d9-344c-565d-b901-774a47e6aa3a,BARCELONA ORIZABA 621,clean,,
product,1c360aec-bec5-5d07-8f5e-263e07555588,BARCELONA HARDEOL 623,clean,,
product,1c60c5c7-0004-51d6-9aaa-b112df8088c9,EDDICA CALCATTA GOLD,clean,,
product,1c855ea6-19a5-54fa-9cad-356e118f5dce,PENGVIN 2028 D,clean,,
product,1d9e1c15-2913-529c-9be5-488faf2ad89e,PENGVIN 2117 L,clean,,
product,1db6ea3d-39d9-50dd-8d56-e89e446bf022,VARMORA LEVIN NATURAL,clean,,
product,1eba69db-4f33-5dab-9190-ee0a78d0108e,PENGVIN 2028 HL1,clean,,
product,1f00bb39-649b-5520-9cdf-b7f395c57e4c,BARCELONA ARGUS 625,clean,,
product,2009d431-d46b-558d-b59c-8ce8fa46dd68,ETHICS GVITRA 143 BEIGE,clean,,
product,20223765-e257-5949-9295-1a19ac6e5f71,BARCELONA 21044 D,clean,,
product,20ef4390-d441-5253-a07b-1197558930d2,BARCELONA 21604 HL1,clean,,
product,235b085d-3214-568a-a6c2-11ed33328b5b,BARCELONA 21356 HL1,clean,,
product,254f2948-610b-58bd-852c-983070511106,LIZZART ROYAL IRIS,clean,,
product,25ae37f1-33f8-52fe-914d-a64abee3c699,RANGE WHITE GLOSSY 240,clean,,
