product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
2ac71677-394d-5e75-977d-cb3f416548f8,VARMORA DELIGHT IVORY,clean,4,0,0,0,0,0,0,
2d0f21ea-200f-5d84-9dee-22916ff9e042,ASIAN GRANITO LIMITED BACKSPLASH CREMA,clean,4,0,0,0,3,3,3,
2d37360d-38fb-539f-8b26-20c8ab287577,ASIAN GRANITO LIMITED TIJOLO GRASS,clean,7,0,0,0,46,46,46,
2d65de91-fbec-5dd8-8503-e0ca4e064dc4,VARMORA IRIS BEIGE,clean,3,0,0,0,9,9,9,
2dc50701-ccf8-5ad1-973f-19bbc42dfcfb,RANGE CA 3680 D,clean,5,0,0,0,60,60,60,
2f049c7d-208a-54a8-85c2-25deb6320293,BARCELONA 21304 D,clean,19,0,0,0,27,27,27,
2f4e0570-2bf4-5bdd-a3ba-d6ac4c68ded0,PASSERO LIME PINE,clean,23,0,0,0,0,0,0,
309f2579-cd06-5e80-a8b5-7c8aee6a956e,LIZZART ROCK ALMOND,clean,29,0,0,0,0,0,0,
30d865e8-f950-55ca-abd6-c59f0819a3ff,COVERTEK AMAZONITE,clean,13,0,0,0,0,0,0,
3163f236-a266-5f7c-81bc-9672758eb43a,BARCELONA FORBES 623,clean,72,0,0,0,282,282,282,
3351c806-ac26-58ec-ab1d-0dd2f1a38fdd,COVERTEK METH GREY,clean,24,0,0,0,0,0,0,
33719135-275f-5833-a59f-c22453710c05,LIZZART ROCK DOVE,clean,14,0,0,0,22,22,22,
341f11ce-1a2b-586e-8bf5-b85b6fbbfcfc,ETHICS 2513,clean,13,0,0,0,41,41,41,
350a1aa8-2c62-5ae1-b76a-ab29d920df49,GVIT BROWSER WOOD,clean,2,0,0,0,0,0,0,
3537e8e9-8e55-5ab5-a2a8-39ce0d6027d1,ASIAN GRANITO LIMITED DOVER DARK,clean,2,0,0,0,95,95,95,
355e9c4e-b2ab-51eb-9fb9-df607fffecef,BARCELONA ALMOND HL,clean,5,0,0,0,23,23,23,
37e93bc7-2cb4-576d-a890-0cd9990f699e,BARCELONA 21263 HL,clean,5,0,0,0,134,134,134,
3805048e-a1a8-5a36-a62a-2b22535b4d60,RANGE TRAVERTINO NATURAL DECOR,clean,8,0,0,0,33,33,33,
